model;learning_type;forecast_type;ETTh1;ETTh2;ETTm1;ETTm2;exchange_rate;weather;illness;de_small;de_big;sum_seconds
TimeGPT;zero-shot;univariate;8;8;9;9;8;10;17;;;69
TimeGPT;few-shot;univariate;;;;;;;;;;540
GTT-Small;zero-shot;univariate;144;132;594;559;31;725;13;14;134;2346
GTT-Small;finetune;univariate;499;368;2122;1097;286;4468;158;157;1222;10377
GTT-Small;zero-shot;multivariate;155;139;649;637;32;742;14;14;130;2512
GTT-Small;finetune;multivariate;502;371;2399;1099;289;4962;150;160;1295;11227
GTT-Tiny;zero-shot;univariate;112;98;437;436;25;426;12;23;99;1668
GTT-Tiny;finetune;univariate;254;167;789;542;144;2615;66;89;813;4577
GTT-Tiny;zero-shot;multivariate;110;101;441;438;25;430;12;12;99;1557
GTT-Tiny;finetune;multivariate;252;156;792;543;165;1452;67;88;633;4148
UniTime;zero-shot;univariate;;;;;;;;;124;1859
UniTime;zero-shot;multivariate;;;;;;;;;134;2046
UniTime;finetune;univariate;;;;;;;;;331;3521
UniTime;finetune;multivariate;;;;;;;;;1063;15322
UniTime_8;zero-shot;univariate;;;;;;;;;;2254
UniTime_8;finetune;univariate;374;368;1325;1320;211;1282;57;67;473;5477
UniTime_8;zero-shot;multivariate;;;;;;;;;;2877
UniTime_8;finetune;multivariate;1057;1050;4320;4387;632;8172;99;140;1564;21421
Lag-Llama;zero-shot;univariate;424;422;424;427;426;;31;;;2634
PatchTST;train;univariate;1369;1466;1246;1364;554;1642;617;347;1231;9836
PatchTST;train;multivariate;1727;1839;6204;4965;1378;14448;937;;1614;33112
SegRNN;train;univariate;146;142;421;354;129;685;151;105;346;2479
SegRNN;train;multivariate;650;585;2919;3153;394;7185;149;144;864;16043
SparseTSF;train;univariate;178;180;393;363;124;261;96;68;220;1883
SparseTSF;train;multivariate;174;177;473;508;196;613;75;61;316;2593
ModernTCN;train;univariate;441;398;3500;3324;315;1507;83;66;596;10230
ModernTCN;train;multivariate;1350;1216;17933;15615;407;24657;78;65;1770;63091
Repeat_Closest;native;univariate;;;;;;;;;;283
Repeat_Closest;native;multivariate;;;;;;;;;;325
