model;learning_type;forecast_type;ETTh1;ETTh2;ETTm1;ETTm2;exchange_rate;weather;illness;sum(minute)
TimeGPT;zero-shot;univariate;;;;;;;;2
TimeGPT;few-shot;univariate;1;;;;;;;9
GTT-Small;zero-shot;univariate;2;2;10;11;1;12;1;39
GTT-Small;finetune;univariate;7;6;31;23;5;66;3;141
GTT-Small;zero-shot;multivariate;2;2;11;1;0.5;12,3;0,2;29
GTT-Small;finetune;multivariate;8;6;40;18;5;83;3;163
GTT-Tiny;zero-shot;univariate;2;2;8;8;1;8;0.2;29.2
GTT-Tiny;finetune;univariate;5;3;15;9;2;24;1;59
GTT-Tiny;zero-shot;multivariate;2;2;7;7,03;0,5;7;0,2;26
GTT-Tiny;finetune;multivariate;4;2,5;13;9,00;3;24;1;56
UniTime;zero-shot;univariate;;;;;;;;29
UniTime;zero-shot;multivariate;;;;;;;;32
UniTime;finetune;univariate;;;;;;;;55
UniTime;finetune;multivariate;;;;;;;;238
Lag-Llama;zero-shot;univariate;7;7;7;7;7;;1;43
PatchTST;train;univariate;23;24;21;23;9;27;10;137
PatchTST;train;multivariate;29;30;103;83;23;261;15;544
SegRNN;train;univariate;3;2;7;6;2;12;2;34
SegRNN;train;multivariate;11;10;49;53;7;3;2;135
SparseTSF;train;univariate;3;3;6;6;2;4;1;25
SparseTSF;train;multivariate;3;3;8;8;3;10;1;36
